agree,同意
airplane,飞机
almost,几乎
always,总是
answer,答案、回答
arm,手臂
baby,婴儿
bakery,面包店
bank,银行
beach,海滩
beautiful,美丽的
beef,牛肉
believe,相信
belt,腰带、带子
bite,咬、啃
blackboard,黑板
blind,瞎的、盲的
boat,船、小船
boss,老板
bottle,瓶子
bowl,碗
bridge,桥梁
brown,咖啡色
businessman,商人
busy,忙、忙碌
butter,奶油
camera,相机
careful,小心的、仔细的
cell phone,手机
chalk,粉笔
cheap,便宜的
cheat,欺骗、作弊
cheese,奶酪
chopsticks,筷子
church,教堂
circle,圆、圆圈
city,城市
climb,爬、攀爬
coffee,咖啡
collect,收集
convenient,便利的
copy,影印、拷贝
couch,长沙发、睡椅
count,数数、计算
country,乡村、国家
crazy,疯狂的
cry,哭泣
dangerous,危险的
dark,黑暗的
date,日期
daughter,女儿
decide,决定
delicious,美味的
department store,百货公司
dictionary,字典
different,不同的
Double Tenth Day,双十节
dozen,一打
driver,司机
dry,干燥的、干的
elf,小精灵
e-mail,电子邮件
excellent,杰出的、优秀的
excited,刺激的、兴奋的
expensive,昂贵的
factory,工厂
fan,电风扇
farmer,农夫
fast,快的
Father's Day,父亲节
favorite,最爱的
fax,传真
finally,最后、终于
finger,手指
fisherman,渔夫
foreigner,外国人
fork,叉子
garbage,垃圾
garden,花园
gift,礼物
glass,玻璃杯
glove,手套
goat,山羊
grass,草
gray,灰色
ground,地面
habit,习惯
Halloween,万圣节
healthy,健康的
history,历史
holiday,假日
honest,诚实的、正直的
horse,马
hospital,医院
hot dog,热狗
hotel,旅馆
hundred,百
hurt,受伤、危害
important,重要的
Internet,因特网
island,岛屿
jacket,夹克
jeans,牛仔裤
jog,慢跑
jump,跳跃
kick,踢
knee,膝盖
knife,刀子
lake,湖泊
laugh,笑
lazy,懒惰的
left,左边
library,图书馆
listen,听
lonely,孤独的、单独的
lucky,幸运的
machine,机器
medicine,药
menu,菜单
minute,分钟
mistake,错误
Moon Festival,中秋节
Mother's Day,母亲节
motorcycle,摩托车
mountain,山、山脉
movie,电影
museum,博物馆
neck,颈部
New Year's Day,新年（元旦）
noodle,面条
north,北方、北方的
office,办公室
page,页，页数
pants,裤子
parents,父母亲
pet,宠物
picnic,郊游、野餐
picture,图画
playground,操场、游乐场
police station,警察局
popcorn,爆玉米花
popular,受欢迎的
pork,猪肉
post office,邮局
problem,问题、困难
pull,拉
push,推
quick,快的、快速的
quiet,安静的、安静
quiz,小考
radio,收音机
rainbow,彩虹
restaurant,餐厅
right,右边
river,河流
road,路
run,跑
safe,安全的
salad,色拉
salty,咸的
same,相同的、一样的
school bag,书包
season,季节
shape,形状
share,分享
sheep,绵羊
ship,船
shirt,衬衫
shoe(s),鞋子
shop,商店
shopkeeper,店主
shoulder,肩膀
shy,害羞的
slow,慢的
smile,微笑
smoke,吸烟、烟
snake,蛇
snowy,下雪的
sock(s),短袜
song,歌曲
sound,声响、听起来
south,南方、南方的、南部的
speak,说话
spoon,汤匙
spring,春天
story,故事
stranger,陌生人
street,街道
successful,成功的
sugar,糖
summer,夏天
supermarket,超级市场
surprise,惊讶、惊喜
sweater,毛衣
swim,游泳
Taiwan,台湾
taxi,出租车
Teacher's Day,教师节
telephone,电话
television,电视
Thanksgiving,感恩节
thirsty,口渴的
thousand,千
tomorrow,明天
traffic,交通
train station,火车站
truck,货车
typhoon,台风
umbrella,雨伞
uniform,制服
vacation,假期
vegetable,蔬菜
week,星期（周）
weekend,周末
white,白色
window,窗户
winter,冬天
yesterday,昨天
young,年轻
afternoon,下午
all,全部
angry,生气
animal,动物
ant,蚂蚁
ask,问
bag,袋子
banana,香蕉
baseball,棒球
basketball,篮球
bathroom,浴室
bear,熊
bedroom,卧室
birthday,生日
black,黑色
blue,蓝色
bookstore,书店
breakfast,早餐
brother,兄弟
brush,刷、刷子
bus,公交车
buy,买
cake,蛋糕
candy,糖果
card,卡片
cat,猫
chair,椅子
chicken,鸡肉
chocolate,巧克力
Christmas,圣诞节
classmate,同学
classroom,教室
clean,干净的
clothes,衣服
cloudy,多云
coat,大衣
cold,冷的
color,颜色
come,来
computer,计算机
cook,煮、烹调、厨师
cookie,饼干
cool,凉的
cup,杯子
cute,可爱的
dance,跳舞
desk,书桌、桌子
dinner,晚餐
dirty,肮脏
dish,盘子
doctor,医生
dodgeball,躲避球
doll,洋娃娃
dollar,元
door,门
dream,梦想、作梦
dress,洋装
drink,喝
ear(s),耳朵
eat,吃
elephant,大象
eleven,十一
English,英文、英语
eraser,橡皮擦、擦子
evening,傍晚、晚上
eye(s),眼睛
face,脸
family,家庭、家人
feel,感觉
fish,鱼
five,五
flower,花
food,食物
four,四
Friday,星期五
friend,朋友
fruit,水果
giraffe,长颈鹿
go,去
goodbye,再见
grandma,祖母
grandpa,祖父
great,美好的、伟大的
green,绿色
guess,猜
hamburger,汉堡
hand(s),手
head,头
help,帮助
her,她的
his,他的
homework,家庭作业
hot,热的
hungry,饥饿的
ice cream,冰淇淋
juice,果汁
jump,跳、跳跃
kitchen,厨房
kite,风筝
late,迟到
leg,腿
like,喜欢、像
lion,狮子
living room,客厅（起居室）
lunch,午餐
many,很多
marker,麦克笔、白板笔、彩色笔
math,数学
milk,牛奶
Monday,星期一
monkey,猴子
morning,早上
mouse,老鼠
mouth,嘴巴
music,音乐
name,名字
new,新的
night,夜晚
noodles,面条(复数)
nose,鼻子
number,号码
nurse,护士
old,老的、旧的
open,打开
orange,柳橙
park,公园
pencil case,铅笔盒
piano,钢琴
pink,粉红色
pizza,比萨
play,玩
please,请、拜托
police officer,警察
purple,紫色
question,问题
rabbit,兔子
read,读
red,红色
restroom,厕所
rice,饭
robot,机器人
sad,悲伤的
sandwich,三明治
Saturday,星期六
school,学校
school,学校
sea,海、海洋
see,看
short,矮的、短的
sick,生病的
sing,唱
skirt,裙子
sleep,睡觉
smell,闻、气味
snack,点心
some,一些
sorry,难过的、抱歉的
Sunday,星期日
sure,确定的
ten,十
three,三
Thursday,星期四
tiger,老虎
tired,疲倦的
today,今天
train,火车
tree,树
Tuesday,星期二
twelve,十二
two,二
walk,走路
want,想要、需要
wash,清洗
watch,看、手表
water,水
weather,天气
Wednesday,星期三
what,什么
windy,多风的、有风的、风大的
write,写
yellow,黄色
